"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2453","Edit course","LMS system","Fri Mar 06 08:53:34 UTC 2026","passed","Fri Mar 06 08:53:36 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Fri Mar 06 08:53:35 UTC 2026","passed","Fri Mar 06 08:53:35 UTC 2026","","test_markers","",""
"","0","test_critical_login","tests.pytest","Fri Mar 06 08:53:35 UTC 2026","passed","Fri Mar 06 08:53:35 UTC 2026","","test_markers","",""
"","2037","Registration with correct email, username or password","LMS system","Fri Mar 06 08:53:30 UTC 2026","passed","Fri Mar 06 08:53:32 UTC 2026","Registration","Authentication","",""
"","3422","User login with correct email or password","LMS system","Fri Mar 06 08:53:24 UTC 2026","passed","Fri Mar 06 08:53:27 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Fri Mar 06 08:53:35 UTC 2026","passed","Fri Mar 06 08:53:35 UTC 2026","TestUserAuthentification","test_markers","",""
"","2091","User login with wrong email or password","LMS system","Fri Mar 06 08:53:24 UTC 2026","passed","Fri Mar 06 08:53:26 UTC 2026","Authorization","Authentication","",""
"","2306","Create course","LMS system","Fri Mar 06 08:53:33 UTC 2026","passed","Fri Mar 06 08:53:35 UTC 2026","Courses","Courses","",""
"","1","test_password_link","tests.pytest","Fri Mar 06 08:53:35 UTC 2026","passed","Fri Mar 06 08:53:35 UTC 2026","TestUserInterface","test_markers","",""
"","1833","User login with wrong email or password","LMS system","Fri Mar 06 08:53:26 UTC 2026","passed","Fri Mar 06 08:53:28 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Fri Mar 06 08:53:35 UTC 2026","passed","Fri Mar 06 08:53:35 UTC 2026","TestUserAuthentification","test_markers","",""
"","0","test_login","tests.pytest","Fri Mar 06 08:53:35 UTC 2026","passed","Fri Mar 06 08:53:35 UTC 2026","TestUserAuthentification","test_markers","",""
"","1784","User login with wrong email or password","LMS system","Fri Mar 06 08:53:28 UTC 2026","passed","Fri Mar 06 08:53:29 UTC 2026","Authorization","Authentication","",""
"","1570","Check displaying of empty courses list","LMS system","Fri Mar 06 08:53:31 UTC 2026","passed","Fri Mar 06 08:53:33 UTC 2026","Courses","Courses","",""
"","1603","Check displaying of dashboard page","LMS system","Fri Mar 06 08:53:37 UTC 2026","passed","Fri Mar 06 08:53:38 UTC 2026","Dashboard","Dashboard","",""
"","1531","Navigation from login page to registration page","LMS system","Fri Mar 06 08:53:28 UTC 2026","passed","Fri Mar 06 08:53:30 UTC 2026","Authorization","Authentication","",""
