"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login","tests.pytest","Fri Mar 06 09:00:31 UTC 2026","passed","Fri Mar 06 09:00:31 UTC 2026","TestUserAuthentification","test_markers","",""
"","2085","Registration with correct email, username or password","LMS system","Fri Mar 06 09:00:26 UTC 2026","passed","Fri Mar 06 09:00:28 UTC 2026","Registration","Authentication","",""
"","0","test_password_reset","tests.pytest","Fri Mar 06 09:00:31 UTC 2026","passed","Fri Mar 06 09:00:31 UTC 2026","TestUserAuthentification","test_markers","",""
"","1966","User login with wrong email or password","LMS system","Fri Mar 06 09:00:19 UTC 2026","passed","Fri Mar 06 09:00:21 UTC 2026","Authorization","Authentication","",""
"","2489","Edit course","LMS system","Fri Mar 06 09:00:29 UTC 2026","passed","Fri Mar 06 09:00:32 UTC 2026","Courses","Courses","",""
"","1","test_critical_login","tests.pytest","Fri Mar 06 09:00:31 UTC 2026","passed","Fri Mar 06 09:00:31 UTC 2026","","test_markers","",""
"","1516","Navigation from login page to registration page","LMS system","Fri Mar 06 09:00:24 UTC 2026","passed","Fri Mar 06 09:00:25 UTC 2026","Authorization","Authentication","",""
"","1570","Check displaying of empty courses list","LMS system","Fri Mar 06 09:00:26 UTC 2026","passed","Fri Mar 06 09:00:28 UTC 2026","Courses","Courses","",""
"","3151","User login with correct email or password","LMS system","Fri Mar 06 09:00:19 UTC 2026","passed","Fri Mar 06 09:00:22 UTC 2026","Authorization","Authentication","",""
"","1833","User login with wrong email or password","LMS system","Fri Mar 06 09:00:23 UTC 2026","passed","Fri Mar 06 09:00:25 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Fri Mar 06 09:00:31 UTC 2026","passed","Fri Mar 06 09:00:31 UTC 2026","","test_markers","",""
"","1818","User login with wrong email or password","LMS system","Fri Mar 06 09:00:22 UTC 2026","passed","Fri Mar 06 09:00:24 UTC 2026","Authorization","Authentication","",""
"","2407","Create course","LMS system","Fri Mar 06 09:00:28 UTC 2026","passed","Fri Mar 06 09:00:31 UTC 2026","Courses","Courses","",""
"","0","test_logout","tests.pytest","Fri Mar 06 09:00:31 UTC 2026","passed","Fri Mar 06 09:00:31 UTC 2026","TestUserAuthentification","test_markers","",""
"","1663","Check displaying of dashboard page","LMS system","Fri Mar 06 09:00:32 UTC 2026","passed","Fri Mar 06 09:00:34 UTC 2026","Dashboard","Dashboard","",""
"","0","test_password_link","tests.pytest","Fri Mar 06 09:00:31 UTC 2026","passed","Fri Mar 06 09:00:31 UTC 2026","TestUserInterface","test_markers","",""
